farmer_id,state,district,land_holding_acres,annual_income,crop,farmer_category,taluka,village
37,Maharashtra,Nanded,5.39,211121,Soybean,Medium,Mukhed,Pimpalgaon
38,Maharashtra,Nanded,2.94,448834,Wheat,Small,Degloor,Gokunda
39,Maharashtra,Beed,4.93,283612,Rice,Small,Georai,Bansarola
40,Maharashtra,Palghar,3.75,237125,Cotton,Small,Unknown,Unknown
41,Maharashtra,Palghar,7.88,445136,Rice,Medium,Unknown,Unknown
42,Maharashtra,Nagpur,1.62,356081,Sugarcane,Small,Hingna,Takli
43,Maharashtra,Palghar,3.98,250796,Sugarcane,Small,Unknown,Unknown
44,Maharashtra,Satara,5.6,193279,Sugarcane,Medium,Phaltan,Nimb
45,Maharashtra,Aurangabad,3.47,246846,Wheat,Small,Sillod,Golegaon
46,Maharashtra,Yavatmal,7.81,214044,Soybean,Medium,Unknown,Unknown
47,Maharashtra,Nagpur,5.91,454015,Rice,Medium,Kalmeshwar,Gondkhairi
48,Maharashtra,Solapur,5.43,252160,Rice,Medium,Barshi,Tadsoundane
49,Maharashtra,Nagpur,6.18,472132,Rice,Medium,Hingna,Takli
50,Maharashtra,Satara,7.64,120463,Rice,Medium,Phaltan,Sakharwadi
51,Maharashtra,Solapur,7.31,143500,Sugarcane,Medium,Mohol,Shirapur
52,Maharashtra,Yavatmal,5.93,257772,Rice,Medium,Unknown,Unknown
53,Maharashtra,Satara,6.12,87158,Soybean,Medium,Wai,Dhom
54,Maharashtra,Nashik,1.59,134607,Sugarcane,Small,Unknown,Unknown
55,Maharashtra,Aurangabad,1.27,431783,Rice,Small,Gangapur,Banewadi
56,Maharashtra,Yavatmal,4.78,295017,Wheat,Small,Unknown,Unknown
57,Maharashtra,Palghar,0.64,383840,Cotton,Marginal,Unknown,Unknown
58,Maharashtra,Nashik,4.12,373654,Cotton,Small,Unknown,Unknown
59,Maharashtra,Beed,2.08,170076,Cotton,Small,Ashti,Pimpri
60,Maharashtra,Yavatmal,3.1,108692,Sugarcane,Small,Unknown,Unknown
61,Maharashtra,Beed,6.32,180841,Rice,Medium,Patoda,Jaulkhed
62,Maharashtra,Solapur,7.56,242816,Sugarcane,Medium,Barshi,Sukewadi
63,Maharashtra,Nashik,1.04,327954,Soybean,Small,Unknown,Unknown
64,Maharashtra,Aurangabad,4.51,448342,Wheat,Small,Paithan,Bidkin
65,Maharashtra,Palghar,7.12,211081,Wheat,Medium,Unknown,Unknown
66,Maharashtra,Palghar,1.12,161718,Cotton,Small,Unknown,Unknown
67,Maharashtra,Satara,6.68,403076,Cotton,Medium,Phaltan,Nimb
68,Maharashtra,Palghar,3.18,50192,Cotton,Small,Unknown,Unknown
69,Maharashtra,Raigad,2.92,297536,Rice,Small,Panvel,Kalamboli
70,Maharashtra,Amravati,7.83,86413,Soybean,Medium,Chandur,Kurha
71,Maharashtra,Nagpur,2.01,193888,Soybean,Small,Kalmeshwar,Gondkhairi
72,Maharashtra,Pune,5.7,89082,Soybean,Medium,Ambegaon,Awasari
73,Maharashtra,Aurangabad,6.66,377192,Soybean,Medium,Paithan,Patoda
74,Maharashtra,Nashik,0.81,173130,Cotton,Marginal,Unknown,Unknown
75,Maharashtra,Amravati,5.53,100940,Wheat,Medium,Chandur,Nandgaon
76,Maharashtra,Aurangabad,7.64,213202,Cotton,Medium,Sillod,Andhari
77,Maharashtra,Nashik,1.43,90142,Soybean,Small,Unknown,Unknown
78,Maharashtra,Kolhapur,7.22,86468,Cotton,Medium,Radhanagari,Gargoti
79,Maharashtra,Kolhapur,4.96,473914,Soybean,Small,Karvir,Uchgaon
80,Maharashtra,Beed,5.12,191727,Sugarcane,Medium,Patoda,Therla
81,Maharashtra,Aurangabad,5.1,228969,Wheat,Medium,Sillod,Golegaon
82,Maharashtra,Kolhapur,2.74,473291,Sugarcane,Small,Hatkanangale,Hupari
83,Maharashtra,Raigad,7.51,452575,Rice,Medium,Alibag,Varsoli
84,Maharashtra,Nashik,7.61,441192,Cotton,Medium,Unknown,Unknown
85,Maharashtra,Beed,5.19,286187,Rice,Medium,Patoda,Therla
86,Maharashtra,Palghar,6.38,92056,Cotton,Medium,Unknown,Unknown
87,Maharashtra,Nashik,5.09,101831,Sugarcane,Medium,Unknown,Unknown
88,Maharashtra,Beed,4.13,371335,Soybean,Small,Ashti,Dhanora
89,Maharashtra,Aurangabad,5.46,299664,Soybean,Medium,Paithan,Waluj
90,Maharashtra,Amravati,4.65,434092,Cotton,Small,Achalpur,Pathrot
91,Maharashtra,Satara,4.98,476488,Soybean,Small,Karad,Malkapur
92,Maharashtra,Palghar,6.38,158117,Sugarcane,Medium,Unknown,Unknown
93,Maharashtra,Yavatmal,4.11,326815,Soybean,Small,Unknown,Unknown
94,Maharashtra,Amravati,0.81,339192,Sugarcane,Marginal,Achalpur,Paratwada
95,Maharashtra,Solapur,1.73,338107,Rice,Small,Mohol,Kamti
96,Maharashtra,Raigad,3.79,93954,Sugarcane,Small,Alibag,Revdanda
97,Maharashtra,Nashik,5.94,283192,Wheat,Medium,Unknown,Unknown
98,Maharashtra,Solapur,4.95,407574,Wheat,Small,Mohol,Penur
99,Maharashtra,Amravati,5.38,50717,Wheat,Medium,Achalpur,Paratwada
100,Maharashtra,Beed,4.09,323820,Cotton,Small,Patoda,Jaulkhed
101,Maharashtra,Yavatmal,5.12,447650,Cotton,Medium,Unknown,Unknown
102,Maharashtra,Palghar,2.97,230882,Cotton,Small,Unknown,Unknown
103,Maharashtra,Palghar,4.03,168696,Sugarcane,Small,Unknown,Unknown
104,Maharashtra,Palghar,6.08,442974,Cotton,Medium,Unknown,Unknown
105,Maharashtra,Raigad,7.04,54994,Rice,Medium,Panvel,Karanjade
106,Maharashtra,Yavatmal,3.75,316378,Wheat,Small,Unknown,Unknown
107,Maharashtra,Raigad,0.83,119300,Sugarcane,Marginal,Alibag,Chaul
108,Maharashtra,Raigad,1.71,356093,Wheat,Small,Panvel,Karanjade
109,Maharashtra,Pune,0.66,87405,Cotton,Marginal,Ambegaon,Manchar
110,Maharashtra,Yavatmal,5.4,347016,Sugarcane,Medium,Unknown,Unknown
111,Maharashtra,Satara,2.99,354359,Soybean,Small,Karad,Masur
112,Maharashtra,Yavatmal,4.57,73185,Rice,Small,Unknown,Unknown
113,Maharashtra,Amravati,4.2,224514,Cotton,Small,Chandur,Rajura
114,Maharashtra,Pune,1.11,494975,Cotton,Small,Ambegaon,Awasari
115,Maharashtra,Palghar,3.52,353297,Rice,Small,Unknown,Unknown
116,Maharashtra,Amravati,2.15,389679,Rice,Small,Daryapur,Yeoda
117,Maharashtra,Amravati,3.64,183653,Soybean,Small,Achalpur,Paratwada
118,Maharashtra,Nanded,2.03,101717,Cotton,Small,Mukhed,Dapkarja
119,Maharashtra,Nagpur,6.8,52763,Cotton,Medium,Kalmeshwar,Gondkhairi
120,Maharashtra,Pune,1.81,405054,Wheat,Small,Ambegaon,Awasari
121,Maharashtra,Amravati,7.71,105480,Sugarcane,Medium,Achalpur,Paratwada
122,Maharashtra,Nagpur,3.62,219831,Sugarcane,Small,Hingna,Wanadongri
123,Maharashtra,Nagpur,6.85,257139,Wheat,Medium,Katol,Sawanga
124,Maharashtra,Pune,5.22,168094,Sugarcane,Medium,Junnar,Alephata
125,Maharashtra,Nanded,6.02,206379,Rice,Medium,Mukhed,Honer
126,Maharashtra,Solapur,6.26,277443,Sugarcane,Medium,Barshi,Sukewadi
127,Maharashtra,Beed,4.29,61064,Sugarcane,Small,Patoda,Jaulkhed
128,Maharashtra,Satara,4.57,126848,Wheat,Small,Karad,Malkapur
129,Maharashtra,Beed,4.35,87548,Soybean,Small,Ashti,Dhanora
130,Maharashtra,Yavatmal,4.91,218017,Sugarcane,Small,Unknown,Unknown
131,Maharashtra,Palghar,0.72,491153,Sugarcane,Marginal,Unknown,Unknown
132,Maharashtra,Satara,3.47,318620,Soybean,Small,Wai,Bavdhan
133,Maharashtra,Yavatmal,5.05,494972,Wheat,Medium,Unknown,Unknown
134,Maharashtra,Amravati,4.98,402245,Soybean,Small,Chandur,Rajura
135,Maharashtra,Palghar,6.45,52382,Wheat,Medium,Unknown,Unknown
136,Maharashtra,Nashik,5.41,492899,Rice,Medium,Unknown,Unknown
137,Maharashtra,Pune,7.94,226348,Wheat,Medium,Ambegaon,Ghodegaon
138,Maharashtra,Satara,2.63,476618,Rice,Small,Karad,Masur
139,Maharashtra,Satara,3.19,470162,Rice,Small,Karad,Masur
140,Maharashtra,Amravati,3.38,129698,Wheat,Small,Chandur,Kurha
141,Maharashtra,Solapur,3.99,295762,Cotton,Small,Pandharpur,Bhalwani
142,Maharashtra,Nagpur,6.77,293381,Wheat,Medium,Katol,Sawanga
143,Maharashtra,Palghar,2.27,465551,Sugarcane,Small,Unknown,Unknown
144,Maharashtra,Amravati,6.32,95095,Sugarcane,Medium,Achalpur,Pathrot
145,Maharashtra,Kolhapur,3.54,442118,Cotton,Small,Hatkanangale,Jaysingpur
146,Maharashtra,Nanded,5.01,339341,Rice,Medium,Degloor,Gokunda
147,Maharashtra,Nagpur,5.24,439763,Cotton,Medium,Katol,Dhapewada
148,Maharashtra,Pune,3.3,72010,Sugarcane,Small,Ambegaon,Awasari
149,Maharashtra,Nagpur,4.34,467339,Cotton,Small,Kalmeshwar,Kohali
150,Maharashtra,Solapur,3.6,400067,Wheat,Small,Pandharpur,Bhalwani
151,Maharashtra,Nagpur,1.02,183962,Cotton,Small,Hingna,Wanadongri
152,Maharashtra,Pune,3.78,442670,Rice,Small,Junnar,Alephata
153,Maharashtra,Solapur,1.23,159162,Wheat,Small,Mohol,Kamti
154,Maharashtra,Beed,3.54,433071,Soybean,Small,Ashti,Pimpri
155,Maharashtra,Satara,4.95,320170,Sugarcane,Small,Karad,Masur
156,Maharashtra,Satara,4.85,377069,Sugarcane,Small,Wai,Bavdhan
157,Maharashtra,Nanded,5.47,118842,Cotton,Medium,Mukhed,Honer
158,Maharashtra,Yavatmal,1.21,345809,Wheat,Small,Unknown,Unknown
159,Maharashtra,Beed,5.39,321421,Soybean,Medium,Patoda,Jaulkhed
160,Maharashtra,Beed,2.84,223311,Wheat,Small,Georai,Thakarwadi
161,Maharashtra,Palghar,3.49,490880,Sugarcane,Small,Unknown,Unknown
162,Maharashtra,Raigad,6.93,360152,Wheat,Medium,Panvel,Kalamboli
163,Maharashtra,Nagpur,0.57,326827,Soybean,Marginal,Hingna,Takli
164,Maharashtra,Satara,4.91,181742,Cotton,Small,Wai,Bavdhan
165,Maharashtra,Pune,4.99,270283,Rice,Small,Junnar,Alephata
166,Maharashtra,Aurangabad,3.47,198961,Wheat,Small,Gangapur,Lasur
167,Maharashtra,Raigad,2.28,498828,Rice,Small,Panvel,Kalamboli
168,Maharashtra,Aurangabad,2.26,225607,Sugarcane,Small,Sillod,Andhari
169,Maharashtra,Solapur,7.13,390686,Cotton,Medium,Mohol,Shirapur
170,Maharashtra,Satara,3.82,366463,Cotton,Small,Phaltan,Sakharwadi
171,Maharashtra,Satara,2.98,295144,Wheat,Small,Phaltan,Lonand
172,Maharashtra,Raigad,3.87,404211,Cotton,Small,Mahad,Kamble
173,Maharashtra,Nanded,5.52,202711,Wheat,Medium,Mukhed,Pimpalgaon
174,Maharashtra,Raigad,1.59,245784,Wheat,Small,Mahad,Birwadi
175,Maharashtra,Aurangabad,3.87,459849,Rice,Small,Gangapur,Banewadi
176,Maharashtra,Raigad,4.91,302217,Cotton,Small,Mahad,Kamble
177,Maharashtra,Satara,7.61,477876,Wheat,Medium,Karad,Masur
178,Maharashtra,Nanded,2.39,381119,Rice,Small,Biloli,Hadsani
179,Maharashtra,Nagpur,3.19,213244,Soybean,Small,Kalmeshwar,Mohpa
180,Maharashtra,Kolhapur,3.35,151158,Rice,Small,Hatkanangale,Jaysingpur
181,Maharashtra,Palghar,5.04,323721,Rice,Medium,Unknown,Unknown
182,Maharashtra,Nashik,3.18,389443,Wheat,Small,Unknown,Unknown
183,Maharashtra,Beed,4.5,332320,Sugarcane,Small,Ashti,Kasewadi
184,Maharashtra,Raigad,6.36,487602,Sugarcane,Medium,Panvel,Karanjade
185,Maharashtra,Yavatmal,5.79,113972,Sugarcane,Medium,Unknown,Unknown
186,Maharashtra,Solapur,3.85,432162,Rice,Small,Mohol,Kamti
187,Maharashtra,Kolhapur,6.98,484219,Wheat,Medium,Hatkanangale,Jaysingpur
188,Maharashtra,Palghar,4.69,332140,Cotton,Small,Unknown,Unknown
189,Maharashtra,Palghar,4.55,150922,Rice,Small,Unknown,Unknown
190,Maharashtra,Palghar,0.76,398742,Rice,Marginal,Unknown,Unknown
191,Maharashtra,Palghar,7.9,85931,Wheat,Medium,Unknown,Unknown
192,Maharashtra,Aurangabad,1.42,174168,Soybean,Small,Sillod,Ajanta
193,Maharashtra,Nanded,2.23,216782,Rice,Small,Biloli,Hadsani
194,Maharashtra,Beed,0.89,173099,Soybean,Marginal,Georai,Thakarwadi
195,Maharashtra,Satara,5.3,84693,Soybean,Medium,Phaltan,Sakharwadi
196,Maharashtra,Palghar,2.19,478956,Sugarcane,Small,Unknown,Unknown
197,Maharashtra,Yavatmal,1.85,158944,Wheat,Small,Unknown,Unknown
198,Maharashtra,Satara,1.16,274655,Soybean,Small,Wai,Kikali
199,Maharashtra,Pune,1.27,257574,Wheat,Small,Ambegaon,Manchar
200,Maharashtra,Pune,4.89,329518,Sugarcane,Small,Junnar,Otur
201,Maharashtra,Yavatmal,5.66,297572,Wheat,Medium,Unknown,Unknown
202,Maharashtra,Nanded,3.48,393615,Rice,Small,Mukhed,Dapkarja
203,Maharashtra,Yavatmal,4.1,95913,Soybean,Small,Unknown,Unknown
204,Maharashtra,Aurangabad,5.64,435827,Wheat,Medium,Paithan,Patoda
205,Maharashtra,Raigad,0.63,247097,Cotton,Marginal,Mahad,Dasgaon
206,Maharashtra,Yavatmal,2.92,356660,Wheat,Small,Unknown,Unknown
207,Maharashtra,Nagpur,7.8,137796,Soybean,Medium,Katol,Metpanjara
208,Maharashtra,Satara,4.85,338213,Sugarcane,Small,Wai,Dhom
209,Maharashtra,Kolhapur,2.41,430477,Sugarcane,Small,Hatkanangale,Pethvadgaon
210,Maharashtra,Amravati,4.41,499449,Soybean,Small,Achalpur,Dhamangaon
211,Maharashtra,Nanded,3.07,134811,Rice,Small,Biloli,Sawargaon
212,Maharashtra,Yavatmal,4.49,240121,Rice,Small,Unknown,Unknown
213,Maharashtra,Solapur,1.44,282892,Sugarcane,Small,Pandharpur,Mundhewadi
214,Maharashtra,Pune,1.5,430172,Sugarcane,Small,Haveli,Wagholi
215,Maharashtra,Nagpur,1.58,89178,Soybean,Small,Katol,Sawanga
216,Maharashtra,Beed,7.55,344965,Rice,Medium,Ashti,Pimpri
217,Maharashtra,Palghar,6.0,494943,Sugarcane,Medium,Unknown,Unknown
218,Maharashtra,Amravati,1.72,66999,Rice,Small,Daryapur,Mangrul
219,Maharashtra,Nanded,1.91,350856,Sugarcane,Small,Mukhed,Honer
220,Maharashtra,Kolhapur,5.98,245623,Wheat,Medium,Radhanagari,Kasba Radhanagari
221,Maharashtra,Amravati,1.67,221244,Cotton,Small,Achalpur,Dhamangaon
222,Maharashtra,Yavatmal,2.26,345866,Wheat,Small,Unknown,Unknown
223,Maharashtra,Aurangabad,7.73,322769,Sugarcane,Medium,Gangapur,Lasur
224,Maharashtra,Pune,2.41,248237,Cotton,Small,Ambegaon,Ghodegaon
225,Maharashtra,Pune,5.46,56859,Cotton,Medium,Haveli,Wagholi
226,Maharashtra,Beed,7.84,484825,Sugarcane,Medium,Patoda,Therla
227,Maharashtra,Aurangabad,3.31,486523,Sugarcane,Small,Gangapur,Banewadi
228,Maharashtra,Palghar,0.63,160986,Rice,Marginal,Unknown,Unknown
229,Maharashtra,Satara,2.33,282654,Sugarcane,Small,Karad,Malkapur
230,Maharashtra,Nashik,6.73,333983,Soybean,Medium,Unknown,Unknown
231,Maharashtra,Nagpur,6.98,339360,Sugarcane,Medium,Katol,Metpanjara
232,Maharashtra,Pune,6.26,365097,Soybean,Medium,Haveli,Theur
233,Maharashtra,Solapur,1.35,99522,Sugarcane,Small,Mohol,Penur
234,Maharashtra,Pune,6.47,280233,Rice,Medium,Junnar,Alephata
235,Maharashtra,Amravati,7.39,448102,Soybean,Medium,Chandur,Kurha
236,Maharashtra,Pune,5.0,423393,Wheat,Small,Haveli,Wagholi
237,Maharashtra,Nanded,7.56,57485,Soybean,Medium,Biloli,Hadsani
238,Maharashtra,Pune,6.7,474671,Rice,Medium,Junnar,Otur
239,Maharashtra,Nashik,5.5,293056,Soybean,Medium,Unknown,Unknown
240,Maharashtra,Nashik,4.83,459983,Sugarcane,Small,Unknown,Unknown
241,Maharashtra,Palghar,3.11,162701,Sugarcane,Small,Unknown,Unknown
242,Maharashtra,Kolhapur,1.69,471669,Rice,Small,Hatkanangale,Hupari
243,Maharashtra,Satara,5.04,257352,Cotton,Medium,Phaltan,Sakharwadi
244,Maharashtra,Solapur,2.89,152638,Sugarcane,Small,Mohol,Shirapur
245,Maharashtra,Pune,7.0,234514,Wheat,Medium,Haveli,Wagholi
246,Maharashtra,Pune,7.95,495093,Rice,Medium,Haveli,Uruli
247,Maharashtra,Nagpur,6.14,324370,Soybean,Medium,Katol,Dhapewada
248,Maharashtra,Nashik,1.18,143405,Soybean,Small,Unknown,Unknown
249,Maharashtra,Solapur,2.67,334732,Wheat,Small,Barshi,Vairag
250,Maharashtra,Palghar,1.32,260048,Sugarcane,Small,Unknown,Unknown
251,Maharashtra,Beed,5.38,212781,Rice,Medium,Patoda,Chousala
252,Maharashtra,Kolhapur,6.24,491004,Wheat,Medium,Radhanagari,Dhamod
253,Maharashtra,Satara,7.44,87019,Sugarcane,Medium,Karad,Umbraj
254,Maharashtra,Aurangabad,3.79,488164,Rice,Small,Paithan,Bidkin
255,Maharashtra,Satara,7.26,311497,Soybean,Medium,Wai,Bavdhan
256,Maharashtra,Nanded,7.08,115133,Rice,Medium,Mukhed,Honer
257,Maharashtra,Amravati,2.88,426588,Cotton,Small,Daryapur,Anjangaon
258,Maharashtra,Nanded,7.02,247530,Rice,Medium,Mukhed,Pimpalgaon
259,Maharashtra,Pune,3.32,429747,Cotton,Small,Haveli,Wagholi
260,Maharashtra,Kolhapur,2.73,208598,Rice,Small,Radhanagari,Gargoti
261,Maharashtra,Amravati,5.37,178585,Cotton,Medium,Daryapur,Anjangaon
262,Maharashtra,Solapur,2.96,495414,Soybean,Small,Mohol,Shirapur
263,Maharashtra,Aurangabad,5.23,295172,Sugarcane,Medium,Paithan,Waluj
264,Maharashtra,Nashik,5.07,355539,Cotton,Medium,Unknown,Unknown
265,Maharashtra,Kolhapur,4.73,467247,Cotton,Small,Radhanagari,Kasba Radhanagari
266,Maharashtra,Kolhapur,3.35,175814,Soybean,Small,Karvir,Uchgaon
267,Maharashtra,Nanded,4.61,480917,Cotton,Small,Mukhed,Dapkarja
268,Maharashtra,Pune,4.97,424743,Wheat,Small,Ambegaon,Ghodegaon
269,Maharashtra,Yavatmal,4.59,75939,Soybean,Small,Unknown,Unknown
270,Maharashtra,Palghar,3.83,492361,Wheat,Small,Unknown,Unknown
271,Maharashtra,Nanded,0.61,463540,Soybean,Marginal,Biloli,Kundalwadi
272,Maharashtra,Kolhapur,4.9,203939,Cotton,Small,Hatkanangale,Hupari
273,Maharashtra,Raigad,1.76,312347,Wheat,Small,Alibag,Revdanda
274,Maharashtra,Nagpur,5.32,459760,Cotton,Medium,Hingna,Wanadongri
275,Maharashtra,Aurangabad,6.2,459115,Soybean,Medium,Sillod,Andhari
276,Maharashtra,Palghar,4.25,341207,Cotton,Small,Unknown,Unknown
277,Maharashtra,Nanded,4.57,140880,Wheat,Small,Mukhed,Honer
278,Maharashtra,Aurangabad,7.64,53748,Wheat,Medium,Paithan,Waluj
279,Maharashtra,Nagpur,6.85,286094,Cotton,Medium,Kalmeshwar,Mohpa
280,Maharashtra,Beed,7.36,429413,Rice,Medium,Patoda,Therla
281,Maharashtra,Nagpur,6.6,392908,Soybean,Medium,Hingna,Wanadongri
282,Maharashtra,Nagpur,1.32,201956,Soybean,Small,Katol,Dhapewada
283,Maharashtra,Aurangabad,1.62,206255,Cotton,Small,Sillod,Ajanta
284,Maharashtra,Satara,4.45,420180,Rice,Small,Wai,Kikali
285,Maharashtra,Aurangabad,2.35,200331,Wheat,Small,Gangapur,Banewadi
286,Maharashtra,Yavatmal,4.08,217031,Sugarcane,Small,Unknown,Unknown
287,Maharashtra,Pune,3.46,428669,Sugarcane,Small,Junnar,Otur
288,Maharashtra,Amravati,4.62,476673,Cotton,Small,Chandur,Kurha
289,Maharashtra,Satara,6.1,397823,Rice,Medium,Karad,Malkapur
290,Maharashtra,Nashik,5.87,175829,Rice,Medium,Unknown,Unknown
291,Maharashtra,Amravati,4.41,178216,Soybean,Small,Daryapur,Mangrul
292,Maharashtra,Pune,6.67,445319,Wheat,Medium,Junnar,Alephata
293,Maharashtra,Nanded,3.73,115901,Rice,Small,Mukhed,Honer
294,Maharashtra,Palghar,7.23,293386,Sugarcane,Medium,Unknown,Unknown
295,Maharashtra,Yavatmal,1.03,225607,Wheat,Small,Unknown,Unknown
296,Maharashtra,Yavatmal,7.66,459319,Wheat,Medium,Unknown,Unknown
297,Maharashtra,Nashik,5.41,148046,Cotton,Medium,Unknown,Unknown
298,Maharashtra,Satara,3.35,402156,Rice,Small,Wai,Kikali
299,Maharashtra,Beed,1.98,128278,Cotton,Small,Patoda,Therla
300,Maharashtra,Nagpur,4.09,324535,Rice,Small,Kalmeshwar,Kohali
301,Maharashtra,Satara,1.96,152476,Soybean,Small,Phaltan,Nimb
302,Maharashtra,Palghar,1.75,472117,Cotton,Small,Unknown,Unknown
303,Maharashtra,Beed,5.13,432865,Cotton,Medium,Georai,Kada
304,Maharashtra,Yavatmal,4.42,147537,Sugarcane,Small,Unknown,Unknown
305,Maharashtra,Aurangabad,5.53,393303,Cotton,Medium,Sillod,Ajanta
306,Maharashtra,Palghar,7.47,443184,Rice,Medium,Unknown,Unknown
307,Maharashtra,Pune,4.49,231429,Sugarcane,Small,Junnar,Alephata
308,Maharashtra,Nashik,4.86,267980,Cotton,Small,Unknown,Unknown
309,Maharashtra,Pune,1.17,481653,Cotton,Small,Ambegaon,Awasari
310,Maharashtra,Palghar,5.88,347647,Soybean,Medium,Unknown,Unknown
311,Maharashtra,Solapur,3.5,125403,Cotton,Small,Mohol,Kamti
312,Maharashtra,Solapur,7.83,484474,Wheat,Medium,Barshi,Sukewadi
313,Maharashtra,Nanded,6.67,476940,Sugarcane,Medium,Degloor,Mukramabad
314,Maharashtra,Satara,4.42,114286,Wheat,Small,Wai,Bavdhan
315,Maharashtra,Yavatmal,1.42,386986,Sugarcane,Small,Unknown,Unknown
316,Maharashtra,Yavatmal,6.95,154927,Soybean,Medium,Unknown,Unknown
317,Maharashtra,Nagpur,6.5,327052,Cotton,Medium,Kalmeshwar,Mohpa
318,Maharashtra,Nagpur,1.88,493842,Cotton,Small,Katol,Sawanga
319,Maharashtra,Nagpur,2.71,349372,Cotton,Small,Katol,Sawanga
320,Maharashtra,Aurangabad,6.45,73386,Sugarcane,Medium,Paithan,Bidkin
321,Maharashtra,Amravati,1.89,227826,Cotton,Small,Chandur,Nandgaon
322,Maharashtra,Kolhapur,7.38,340446,Wheat,Medium,Radhanagari,Dhamod
323,Maharashtra,Amravati,3.68,372959,Cotton,Small,Achalpur,Pathrot
324,Maharashtra,Pune,1.15,302156,Soybean,Small,Ambegaon,Manchar
325,Maharashtra,Amravati,6.62,375488,Wheat,Medium,Chandur,Nandgaon
326,Maharashtra,Aurangabad,3.3,478834,Cotton,Small,Gangapur,Lasur
327,Maharashtra,Nanded,4.45,423747,Cotton,Small,Mukhed,Pimpalgaon
328,Maharashtra,Pune,1.34,373258,Rice,Small,Haveli,Theur
329,Maharashtra,Amravati,0.52,298724,Sugarcane,Marginal,Achalpur,Dhamangaon
330,Maharashtra,Aurangabad,5.28,251202,Wheat,Medium,Gangapur,Lasur
331,Maharashtra,Kolhapur,4.36,75525,Rice,Small,Hatkanangale,Hupari
332,Maharashtra,Amravati,4.95,129818,Soybean,Small,Chandur,Kurha
333,Maharashtra,Aurangabad,6.45,164589,Sugarcane,Medium,Sillod,Ajanta
334,Maharashtra,Nagpur,5.35,195406,Wheat,Medium,Hingna,Wanadongri
335,Maharashtra,Yavatmal,1.81,144715,Cotton,Small,Unknown,Unknown
336,Maharashtra,Nagpur,3.21,243839,Wheat,Small,Kalmeshwar,Kohali
337,Maharashtra,Yavatmal,7.29,318788,Cotton,Medium,Unknown,Unknown
338,Maharashtra,Raigad,6.27,413298,Sugarcane,Medium,Alibag,Varsoli
